year,haul_date,species,fmp_subarea,gear_type,extrapolated_weight
2020,2020-05-26T00:00:00Z,330,CG,2,3323.59
2020,2020-07-08T00:00:00Z,330,CG,1,6891.36
2020,2020-07-30T00:00:00Z,330,CG,1,111.68
2020,2020-07-30T00:00:00Z,330,CG,1,64.54
2020,2020-05-22T00:00:00Z,330,CG,1,6743.1
2020,2020-05-24T00:00:00Z,330,CG,1,588.58
2020,2020-03-05T00:00:00Z,330,CG,1,132.18
2020,2020-07-23T00:00:00Z,330,WG,1,918.52
2020,2020-07-31T00:00:00Z,330,WG,1,1325.03
2020,2020-07-16T00:00:00Z,330,CG,1,1353.63
2020,2020-08-10T00:00:00Z,330,CG,1,22.67
2020,2020-08-11T00:00:00Z,330,CG,1,70.22
2020,2020-10-24T00:00:00Z,330,CG,1,227.82
2020,2020-03-14T00:00:00Z,330,CG,1,470.39
2020,2020-07-05T00:00:00Z,330,CG,1,7043.25
2020,2020-04-23T00:00:00Z,330,CG,1,145.92
2020,2020-05-03T00:00:00Z,330,CG,1,879.65
2020,2020-05-05T00:00:00Z,330,CG,1,6994.48
2020,2020-05-06T00:00:00Z,330,CG,1,54.35
2020,2020-07-22T00:00:00Z,330,WG,1,812.47
2020,2020-08-01T00:00:00Z,330,WG,1,3895.71
2020,2020-07-21T00:00:00Z,330,WG,1,145.01
2020,2020-10-29T00:00:00Z,330,CG,1,67.17
2020,2020-05-29T00:00:00Z,330,CG,1,1723.45
2020,2020-07-29T00:00:00Z,330,CG,1,1870.89
2020,2020-07-15T00:00:00Z,330,CG,1,406.9
2020,2020-07-25T00:00:00Z,330,CG,1,97.59
2020,2020-05-18T00:00:00Z,330,CG,1,1554.72
2020,2020-08-06T00:00:00Z,330,CG,1,70.58
2020,2020-08-13T00:00:00Z,330,CG,1,80.13
2020,2020-05-02T00:00:00Z,330,CG,1,5312.85
2020,2020-07-13T00:00:00Z,330,CG,1,2829.58
2020,2020-07-13T00:00:00Z,330,CG,1,160.45
2020,2020-08-05T00:00:00Z,330,CG,1,147.53
2020,2020-08-07T00:00:00Z,330,CG,1,919.23
2020,2020-04-10T00:00:00Z,330,CG,1,56.19
2020,2020-08-12T00:00:00Z,330,WG,1,195.04
2020,2020-08-14T00:00:00Z,330,WG,1,66.44
2020,2020-06-02T00:00:00Z,330,CG,2,120.28
2020,2020-09-03T00:00:00Z,330,WG,1,496.21
2020,2020-05-22T00:00:00Z,330,CG,1,68.24
2020,2020-05-24T00:00:00Z,330,CG,2,278.52
2020,2020-04-19T00:00:00Z,330,CG,1,37.74
2020,2020-06-07T00:00:00Z,330,CG,2,239.82
2020,2020-05-28T00:00:00Z,330,CG,1,3924.55
2020,2020-08-08T00:00:00Z,330,WG,1,50.2
2020,2020-05-15T00:00:00Z,330,CG,1,626.92
2020,2020-08-19T00:00:00Z,330,WG,1,747.31
2020,2020-05-17T00:00:00Z,330,CG,1,107.17
2020,2020-05-24T00:00:00Z,330,CG,1,55.18
2020,2020-06-08T00:00:00Z,330,CG,1,141.55
2020,2020-07-01T00:00:00Z,330,CG,1,327.51
2020,2020-07-02T00:00:00Z,330,CG,1,3703.61
2020,2020-07-09T00:00:00Z,330,WG,1,754.77
2020,2020-05-19T00:00:00Z,330,CG,1,101.38
2020,2020-07-23T00:00:00Z,330,CG,1,2299.48
2020,2020-07-26T00:00:00Z,330,WG,1,1973.31
2020,2020-05-13T00:00:00Z,330,CG,1,47.33
2020,2020-08-08T00:00:00Z,330,CG,1,23.1
2020,2020-05-22T00:00:00Z,330,CG,2,269.41
2020,2020-05-20T00:00:00Z,330,CG,1,488.16
2020,2020-07-25T00:00:00Z,330,WG,1,4185.21
2020,2020-05-09T00:00:00Z,330,WY,8,6.5
2020,2020-07-23T00:00:00Z,330,WG,1,683.85
2020,2020-06-12T00:00:00Z,330,CG,1,4952.79
2020,2020-07-02T00:00:00Z,330,CG,1,868.16
2020,2020-06-15T00:00:00Z,330,CG,1,174.29
2020,2020-06-30T00:00:00Z,330,CG,1,2973.15
2020,2020-08-09T00:00:00Z,330,CG,1,85.31
2020,2020-09-01T00:00:00Z,330,WG,1,1485.65
2020,2020-08-20T00:00:00Z,330,WG,1,163.48
2020,2020-07-04T00:00:00Z,330,WY,1,3927.18
2020,2020-05-18T00:00:00Z,330,CG,2,361.41
2020,2020-05-15T00:00:00Z,330,CG,1,115.63
2020,2020-07-03T00:00:00Z,330,CG,1,59.77
2020,2020-08-29T00:00:00Z,330,WG,1,142.34
2020,2020-05-27T00:00:00Z,330,CG,1,4113.15
2020,2020-03-19T00:00:00Z,330,CG,1,17.47
2020,2020-09-16T00:00:00Z,330,SE,8,10.09
2020,2020-06-04T00:00:00Z,330,CG,1,2869.04
2020,2020-07-08T00:00:00Z,330,WG,1,166.44
2020,2020-05-31T00:00:00Z,330,CG,1,5111.25
2020,2020-06-17T00:00:00Z,330,CG,1,10.26
2020,2020-07-30T00:00:00Z,330,WG,1,824.29
2020,2020-07-26T00:00:00Z,330,CG,1,302.59
