"YEAR","HAUL_DATE","SPECIES","FMP_AREA","GEAR_TYPE","EXTRAPOLATED_WEIGHT"
2018,2018-07-04,303,"GOA",1,1346.79
2018,2018-07-04,303,"GOA",1,1700.95
2018,2018-07-05,303,"GOA",1,2700.89
2018,2018-07-09,303,"GOA",1,12.44
2018,2018-07-10,303,"GOA",1,2419.8
2018,2018-07-11,303,"GOA",1,16118
2018,2018-07-11,303,"GOA",1,7698.78
2018,2018-07-11,303,"GOA",1,2538.19
2018,2018-07-11,303,"GOA",1,1527.56
2018,2018-07-13,303,"GOA",1,69.48
2018,2018-07-05,303,"GOA",1,4535.23
2018,2018-07-05,303,"GOA",1,154.84
2018,2018-07-05,303,"GOA",1,90.07
2018,2018-07-13,303,"GOA",1,314.42
2018,2018-07-14,303,"GOA",1,4395.27
2018,2018-07-14,303,"GOA",1,2000.51
2018,2018-07-14,303,"GOA",1,970.69
2018,2018-07-14,303,"GOA",1,53.73
2018,2018-07-14,303,"GOA",1,981.73
2018,2018-07-13,303,"GOA",1,638.1
2018,2018-07-13,303,"GOA",1,37.35
2018,2018-06-29,303,"GOA",1,118.52
2018,2018-07-03,303,"GOA",1,65.11
2018,2018-07-03,303,"GOA",1,3160.11
2018,2018-07-03,303,"GOA",1,2141.11
2018,2018-07-03,303,"GOA",1,1075.08
2018,2018-07-04,303,"GOA",1,6880.33
2018,2018-07-01,303,"GOA",1,622.05
2018,2018-07-01,303,"GOA",1,790.02
2018,2018-07-01,303,"GOA",1,39.28
2018,2018-07-02,303,"GOA",1,51.18
2018,2018-07-03,303,"GOA",1,51.56
2018,2018-06-16,303,"GOA",1,320.69
2018,2018-06-16,303,"GOA",1,1324.67
2018,2018-06-17,303,"GOA",1,1001.89
2018,2018-06-17,303,"GOA",1,616.58
2018,2018-06-17,303,"GOA",1,473.22
2018,2018-06-18,303,"GOA",1,714.04
2018,2018-06-18,303,"GOA",1,101.97
2018,2018-06-18,303,"GOA",1,448.11
2018,2018-06-15,303,"GOA",1,494.34
2018,2018-06-16,303,"GOA",1,22664.08
2018,2018-06-16,303,"GOA",1,2914.29
2018,2018-06-18,303,"GOA",1,65.55
2018,2018-07-16,303,"GOA",1,409.04
2018,2018-07-17,303,"GOA",1,4106.36
2018,2018-07-17,303,"GOA",1,173.82
2018,2018-07-18,303,"GOA",1,74.82
2018,2018-07-21,303,"GOA",1,5791.76
2018,2018-07-21,303,"GOA",1,6320.79
2018,2018-07-15,303,"GOA",1,2302.67
2018,2018-07-16,303,"GOA",1,610.66
2018,2018-07-16,303,"GOA",1,306.05
2018,2018-08-19,303,"GOA",8,6.43
2018,2018-06-17,303,"GOA",1,148
2018,2018-06-18,303,"GOA",1,156.82
2018,2018-06-18,303,"GOA",1,110.75
2018,2018-06-22,303,"GOA",1,30.9
2018,2018-06-08,303,"GOA",1,200.96
2018,2018-06-08,303,"GOA",1,93.15
2018,2018-06-09,303,"GOA",1,84.68
2018,2018-06-05,303,"GOA",1,99.66
2018,2018-07-28,303,"GOA",1,268.23
2018,2018-07-28,303,"GOA",1,5837.73
2018,2018-07-28,303,"GOA",1,118.73
2018,2018-07-29,303,"GOA",1,1456.92
2018,2018-07-29,303,"GOA",1,1506.01
2018,2018-07-29,303,"GOA",1,22.18
2018,2018-07-29,303,"GOA",1,4181.25
2018,2018-11-06,303,"GOA",1,1015
2018,2018-11-06,303,"GOA",1,39.84
2018,2018-07-30,303,"GOA",1,86.87
2018,2018-03-12,303,"GOA",8,7.72
2018,2018-03-13,303,"GOA",8,15.43
2018,2018-03-14,303,"GOA",8,7.12
2018,2018-02-25,303,"GOA",8,49.31
2018,2018-05-18,303,"GOA",1,2779.27
2018,2018-05-18,303,"GOA",1,1301.62
2018,2018-05-19,303,"GOA",1,324.83
2018,2018-05-19,303,"GOA",1,902.01
2018,2018-02-26,303,"GOA",8,31.7
2018,2018-02-27,303,"GOA",8,28.18
2018,2018-02-28,303,"GOA",8,7.04
2018,2018-03-01,303,"GOA",8,22.9
2018,2018-03-01,303,"GOA",8,14.09
2018,2018-03-02,303,"GOA",8,14.09
2018,2018-08-14,303,"GOA",1,108.66
2018,2018-08-16,303,"GOA",1,9697.8
2018,2018-08-16,303,"GOA",1,8011.16
2018,2018-05-14,303,"GOA",1,939.41
2018,2018-05-14,303,"GOA",1,1269.82
2018,2018-05-15,303,"GOA",1,44.53
2018,2018-05-15,303,"GOA",1,21.78
2018,2018-05-16,303,"GOA",1,302.85
2018,2018-03-06,303,"GOA",8,90.41
2018,2018-03-07,303,"GOA",8,90.41
2018,2018-02-21,303,"GOA",8,7.04
2018,2018-03-04,303,"GOA",8,14.09
2018,2018-03-07,303,"GOA",8,24.66
2018,2018-03-05,303,"GOA",8,49.31
2018,2018-01-29,303,"GOA",6,62.82
2018,2018-01-29,303,"GOA",6,14.5
2018,2018-02-01,303,"GOA",6,38.66
2018,2018-01-27,303,"GOA",6,3.54
2018,2018-10-27,303,"GOA",1,33.07
2018,2018-10-28,303,"GOA",1,15.1
2018,2018-11-04,303,"GOA",1,180.83
2018,2018-11-04,303,"GOA",1,1574.92
2018,2018-11-05,303,"GOA",1,999.83
2018,2018-11-05,303,"GOA",1,154.93
