"year","pred","obs","se","retro_year","model","lci","uci"
1999,111960,128710,29791,2020,"m18.2b",70319.64,187100.36
2001,108718,369037,90325,2020,"m18.2b",192000,546074
2003,108657,85047,12250,2020,"m18.2b",61037,109057
2005,108594,239955,29614,2020,"m18.2b",181911.56,297998.44
2007,108724,179913,27902,2020,"m18.2b",125225.08,234600.92
2009,107126,78827,11307,2020,"m18.2b",56665.28,100988.72
2011,102068,109959,15955,2020,"m18.2b",78687.2,141230.8
2013,93539.8,264915,46733,2020,"m18.2b",173318.32,356511.68
2015,83357.6,100589,18743,2020,"m18.2b",63852.72,137325.28
2017,74488.3,140414,23336,2020,"m18.2b",94675.44,186152.56
2019,68184.1,99915,14666,2020,"m18.2b",71169.64,128660.36
