"YEAR","FMP_AREA","SPECIES","LENGTH","WEIGHT","AGE","SPECIMEN_TYPE","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1993,"GOA",303,40,0.85,NA,1,1,"225386",NA
1993,"GOA",303,40,0.9,NA,1,1,"225386",NA
1993,"GOA",303,40,0.9,NA,1,1,"225386",NA
1993,"GOA",303,41,0.9,NA,1,1,"225386",NA
1993,"GOA",303,41,0.95,NA,1,1,"225386",NA
1993,"GOA",303,42,1,NA,1,1,"225386",NA
1993,"GOA",303,43,1.15,NA,1,1,"225386",NA
1993,"GOA",303,39,0.8,NA,1,1,"225397",NA
1993,"GOA",303,39,0.85,NA,1,1,"225397",NA
1993,"GOA",303,40,0.85,NA,1,1,"225397",NA
1993,"GOA",303,41,0.95,NA,1,1,"225397",NA
1993,"GOA",303,41,0.95,NA,1,1,"225397",NA
1993,"GOA",303,41,1.05,NA,1,1,"225397",NA
1993,"GOA",303,42,0.95,NA,1,1,"225397",NA
1993,"GOA",303,42,1.05,NA,1,1,"225397",NA
1993,"GOA",303,43,1.05,NA,1,1,"225397",NA
1993,"GOA",303,43,1.15,NA,1,1,"225397",NA
1993,"GOA",303,30,0.35,NA,1,1,"225375",NA
1993,"GOA",303,31,0.4,NA,1,1,"225375",NA
1993,"GOA",303,32,0.45,NA,1,1,"225375",NA
1993,"GOA",303,32,0.5,NA,1,1,"225375",NA
1993,"GOA",303,33,0.5,NA,1,1,"225375",NA
1993,"GOA",303,34,0.5,NA,1,1,"225375",NA
1993,"GOA",303,34,0.55,NA,1,1,"225375",NA
1993,"GOA",303,34,0.55,NA,1,1,"225375",NA
1993,"GOA",303,35,0.55,NA,1,1,"225375",NA
1993,"GOA",303,35,0.6,NA,1,1,"225375",NA
1993,"GOA",303,36,0.6,NA,1,1,"225375",NA
1993,"GOA",303,36,0.6,NA,1,1,"225375",NA
1993,"GOA",303,36,0.6,NA,1,1,"225375",NA
1993,"GOA",303,37,0.65,NA,1,1,"225375",NA
1993,"GOA",303,37,0.7,NA,1,1,"225375",NA
1993,"GOA",303,37,0.7,NA,1,1,"225375",NA
1993,"GOA",303,38,0.7,NA,1,1,"225375",NA
1993,"GOA",303,38,0.75,NA,1,1,"225375",NA
1993,"GOA",303,39,0.75,NA,1,1,"225375",NA
