"YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
2017,2017-09-09,303,"GOA",4.94
2017,2017-09-11,303,"GOA",6.59
2017,2017-09-11,303,"GOA",23.05
2017,2017-09-13,303,"GOA",27.44
2017,2017-09-14,303,"GOA",12.07
2017,2017-09-14,303,"GOA",6.04
2017,2017-09-14,303,"GOA",85.62
2017,2017-09-14,303,"GOA",32.93
2017,2017-09-15,303,"GOA",8.23
2017,2017-09-17,303,"GOA",36.22
2017,2017-09-17,303,"GOA",13.17
2017,2017-09-18,303,"GOA",8.78
2017,2017-03-16,303,"GOA",5.68
2017,2017-03-16,303,"GOA",28.4
2017,2017-03-17,303,"GOA",4.54
2017,2017-03-17,303,"GOA",4.87
2017,2017-03-19,303,"GOA",5.68
2017,2017-03-20,303,"GOA",5.68
2017,2017-06-20,303,"GOA",138.48
2017,2017-06-25,303,"GOA",26.19
2017,2017-06-11,303,"GOA",10392.51
2017,2017-06-11,303,"GOA",11609.96
2017,2017-06-12,303,"GOA",82.56
2017,2017-06-13,303,"GOA",384.64
2017,2017-06-14,303,"GOA",91.96
2017,2017-06-14,303,"GOA",162.67
2017,2017-06-14,303,"GOA",144.52
2017,2017-06-14,303,"GOA",79.19
2017,2017-06-15,303,"GOA",2439.55
2017,2017-06-15,303,"GOA",212.75
2017,2017-03-11,303,"GOA",32.46
2017,2017-03-13,303,"GOA",85.21
2017,2017-03-14,303,"GOA",45.44
2017,2017-03-14,303,"GOA",5.41
2017,2017-03-15,303,"GOA",5.68
2017,2017-03-22,303,"GOA",5.68
2017,2017-06-15,303,"GOA",67.22
2017,2017-06-16,303,"GOA",41.8
2017,2017-06-16,303,"GOA",78.05
2017,2017-06-16,303,"GOA",84.32
2017,2017-06-17,303,"GOA",19.32
2017,2017-06-17,303,"GOA",12.92
2017,2017-06-17,303,"GOA",66.56
2017,2017-06-17,303,"GOA",113.67
2017,2017-06-18,303,"GOA",52.54
2017,2017-06-18,303,"GOA",365.57
2017,2017-06-18,303,"GOA",804.09
2017,2017-06-20,303,"GOA",185.71
2017,2017-06-20,303,"GOA",82.08
2017,2017-03-27,303,"GOA",4.54
2017,2017-03-16,303,"GOA",32.7
2017,2017-03-18,303,"GOA",24.04
2017,2017-03-03,303,"GOA",7.69
2017,2017-03-04,303,"GOA",4.33
2017,2017-03-04,303,"GOA",14.43
2017,2017-03-05,303,"GOA",23.08
2017,2017-03-06,303,"GOA",4.49
2017,2017-03-21,303,"GOA",9.62
2017,2017-03-26,303,"GOA",18.2
2017,2017-03-28,303,"GOA",152.51
2017,2017-03-29,303,"GOA",111.84
2017,2017-03-31,303,"GOA",23.4
2017,2017-03-31,303,"GOA",13.86
2017,2017-04-02,303,"GOA",15.6
2017,2017-01-31,303,"GOA",7.3
2017,2017-12-29,303,"GOA",8.23
2017,2017-04-12,303,"GOA",59.33
2017,2017-05-09,303,"GOA",429.07
2017,2017-05-09,303,"GOA",50.57
2017,2017-05-10,303,"GOA",62.95
2017,2017-05-12,303,"GOA",189.71
2017,2017-05-15,303,"GOA",788.85
2017,2017-05-15,303,"GOA",106.76
2017,2017-05-15,303,"GOA",793.03
2017,2017-05-15,303,"GOA",3575.46
2017,2017-05-04,303,"GOA",5
2017,2017-05-04,303,"GOA",45.9
2017,2017-05-05,303,"GOA",51.18
2017,2017-05-08,303,"GOA",275.66
2017,2017-05-08,303,"GOA",16.68
2017,2017-10-20,303,"GOA",46.41
2017,2017-07-05,303,"GOA",704.93
2017,2017-07-05,303,"GOA",978.69
2017,2017-07-06,303,"GOA",9177.7
2017,2017-07-06,303,"GOA",6836.33
2017,2017-07-06,303,"GOA",2631.78
2017,2017-07-06,303,"GOA",114.12
2017,2017-07-07,303,"GOA",92.3
2017,2017-07-09,303,"GOA",53.42
2017,2017-07-10,303,"GOA",7514.65
2017,2017-07-10,303,"GOA",4314.57
2017,2017-07-02,303,"GOA",66.17
2017,2017-07-03,303,"GOA",14249.86
2017,2017-07-03,303,"GOA",88.16
2017,2017-07-03,303,"GOA",159.78
2017,2017-07-03,303,"GOA",25.63
2017,2017-07-04,303,"GOA",6215.64
2017,2017-07-04,303,"GOA",10086.2
